id,company,industry,num,결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PER,PBR,EPS,부채율,매출증가,영익증가,영익률,지배ROE,지배EPS,매출이익
DB손해보험_손보_02.csv,DB손해보험,손보,02,06년12월(3Q),24750,6476,10182,459,327,2249,9566,22.31,2.59,462,910.2,16.83,1121.82,3.76,20.61,65.81,65.84
DB손해보험_손보_02.csv,DB손해보험,손보,02,06년09월(2Q),22400,6226,9695,187,153,2051,9212,24.19,2.43,216,897.66,17.15,-38.42,1.68,10.23,-63.14,69.72
DB손해보험_손보_02.csv,DB손해보험,손보,02,06년06월(1Q),23800,5761,9382,111,85,121,8557,18.35,2.78,120,926.2,16.52,-77.91,1.03,5.72,-78.66,67.25
DB손해보험_손보_02.csv,DB손해보험,손보,02,06년03월(4Q),18800,6112,9030,-89,220,860,9051,10.81,2.08,311,828.88,15.43,NA,-0.84,14.76,72.82,68.57
DB손해보험_손보_02.csv,DB손해보험,손보,02,05년12월(3Q),20450,5820,8715,38,197,1500,8639,12.72,2.37,279,849.77,11.97,-88.21,0.35,13.67,-29.11,67.48
DB손해보험_손보_02.csv,DB손해보험,손보,02,05년09월(2Q),15150,5729,8275,304,416,1532,8510,8.8,1.78,587,812.74,9.22,-10.19,3.28,30.31,6.1,73.75
DB손해보험_손보_02.csv,DB손해보험,손보,02,05년06월(1Q),10700,5246,8052,505,398,1674,7865,6.34,1.36,562,870.41,10.76,26.07,5.58,29.88,19.83,71.81
DB손해보험_손보_02.csv,DB손해보험,손보,02,05년03월(4Q),8300,5405,7823,-128,127,657,8088,5.2,1.03,180,794.02,11.41,NA,-1.48,9.1,-7.43,73.56
DB손해보험_손보_02.csv,DB손해보험,손보,02,04년12월(3Q),7580,5790,7784,319,278,2097,8627,4.71,0.88,393,722.85,11.94,-1.96,3.61,19.62,359.6,71.45
DB손해보험_손보_02.csv,DB손해보험,손보,02,04년09월(2Q),5560,5560,7577,338,392,1334,8296,4.27,0.67,553,708.72,11.75,174.24,3.93,30.14,183.28,71.7
DB손해보험_손보_02.csv,DB손해보험,손보,02,04년06월(1Q),4800,4840,7270,400,332,1737,7275,5.08,0.66,469,782.54,10,71.47,4.86,28.24,184.81,70.77
DB손해보험_손보_02.csv,DB손해보험,손보,02,04년03월(4Q),5500,4564,7022,148,138,-3,6887,8.6,0.8,194,798.38,10.08,-53.4,1.84,12.4,-36.8,75
DB손해보험_손보_02.csv,DB손해보험,손보,02,03년12월(3Q),4055,4313,6953,325,61,413,6530,5.38,0.62,86,829.23,2.33,158.37,3.95,5.88,-53.6,76.97
DB손해보험_손보_02.csv,DB손해보험,손보,02,03년09월(2Q),3485,3927,6780,123,138,283,5984,4.09,0.58,195,872.72,1.36,-32.33,1.6,15.04,-42.7,80.34
DB손해보험_손보_02.csv,DB손해보험,손보,02,03년06월(1Q),3220,3432,6609,233,117,321,5285,3.23,0.61,165,982.06,3.1,-29.17,3.02,13.92,-42.22,78.68
DB손해보험_손보_02.csv,DB손해보험,손보,02,03년03월(4Q),2120,3266,6379,318,218,NA,5048,1.9,0.42,308,1010.89,6.35,-56.3,4.27,25.12,-68.14,87.44
DB손해보험_손보_02.csv,DB손해보험,손보,02,02년12월(3Q),2295,3668,6795,126,131,NA,5617,1.29,0.41,184,909.18,9.84,-70.32,1.63,14.36,-53.17,77.35
DB손해보험_손보_02.csv,DB손해보험,손보,02,02년09월(2Q),2240,3601,6689,182,241,NA,5521,1.13,0.41,341,866.38,11.13,-12.94,2.47,28.44,7.43,78.46
DB손해보험_손보_02.csv,DB손해보험,손보,02,02년06월(1Q),2770,3189,6410,330,202,NA,4942,1.41,0.56,285,944.43,10,-19.71,4.46,25.69,-34.49,74.91
DB손해보험_손보_02.csv,DB손해보험,손보,02,02년03월(4Q),4860,3093,5998,728,683,NA,4809,2.3,1.01,965,945.17,9.13,191.19,9.93,91.72,141.09,74.7
DB손해보험_손보_02.csv,DB손해보험,손보,02,01년12월(3Q),3600,2867,6187,424,279,NA,4490,2.33,0.8,394,1011.53,8.87,NA,5.92,42.77,NA,78.73
DB손해보험_손보_02.csv,DB손해보험,손보,02,01년09월(2Q),1765,2346,6019,209,225,NA,3745,2,0.47,317,1172.64,11.77,NA,3.02,40.11,NA,75.62
DB손해보험_손보_02.csv,DB손해보험,손보,02,01년06월(1Q),3145,2136,5827,411,308,NA,3456,11.59,0.91,435,1250.75,16.34,44.63,5.98,73.63,109.43,72.06
DB손해보험_손보_02.csv,DB손해보험,손보,02,01년03월(4Q),1430,1209,5497,250,283,NA,2138,32.41,0.67,400,2121.61,NA,NA,3.81,85.51,NA,75.18
DB손해보험_손보_02.csv,DB손해보험,손보,02,00년12월(3Q),1070,1442,5682,-404,-191,NA,2465,NA,0.43,-270,1744.54,NA,NA,-6.22,-52.65,NA,81.58
DB손해보험_손보_02.csv,DB손해보험,손보,02,00년09월(2Q),2200,1462,5386,-500,-208,NA,2500,NA,0.88,-294,1659.74,NA,NA,-8.36,-52.35,NA,81.71
DB손해보험_손보_02.csv,DB손해보험,손보,02,00년06월(1Q),2075,1717,5009,284,147,NA,2819,NA,0.74,208,1379.8,NA,NA,4.66,35.19,NA,79.62
DB손해보험_손보_02.csv,DB손해보험,손보,02,00년03월(4Q),2600,1626,NA,NA,NA,NA,2639,NA,0.99,NA,1463.05,NA,NA,NA,NA,NA,NA
GS_정유_03.csv,GS,정유,03,19년09월(3Q),50300,110997,45234,5511,2436,2891,94712,6.74,0.53,2183,120.22,-4.16,-20.05,12.18,9.36,-33.24,23.03
GS_정유_03.csv,GS,정유,03,19년06월(2Q),51200,108044,45081,4878,2013,4046,91978,5.99,0.56,1691,127.3,0.88,-11.43,10.82,7.44,-14.76,21.67
GS_정유_03.csv,GS,정유,03,19년03월(1Q),52800,105585,44187,5127,2058,6767,89928,5.97,0.59,1657,129.46,4.61,-7.77,11.6,7.38,-29.66,22.24
GS_정유_03.csv,GS,정유,03,18년12월(4Q),51600,105250,43319,4138,1863,1155,89662,5.41,0.58,1928,115.02,21.1,-18.33,9.55,8.69,-15.8,21.08
GS_정유_03.csv,GS,정유,03,18년09월(3Q),55100,103460,47198,6894,3512,2784,87792,5.57,0.63,3270,120.92,11.6,38.79,14.61,15.17,32.28,24.58
GS_정유_03.csv,GS,정유,03,18년06월(2Q),54400,99926,44687,5508,2206,3373,84698,5.98,0.64,1984,122.24,15.9,40.56,12.33,9.52,40.05,22.78
GS_정유_03.csv,GS,정유,03,18년03월(1Q),62100,97105,42240,5559,2723,5380,81994,7.28,0.76,2356,127.75,7.81,-13.9,13.16,11.52,-44.39,23.73
GS_정유_03.csv,GS,정유,03,17년12월(4Q),62200,96626,35772,5067,2337,3688,81634,5.97,0.76,2289,127.72,-4.21,0.04,14.16,11.31,-7.36,24.13
GS_정유_03.csv,GS,정유,03,17년09월(3Q),65600,95186,42292,4967,2588,1402,80296,6.19,0.82,2472,128.33,26.78,18.89,11.74,12.52,47.21,22.51
GS_정유_03.csv,GS,정유,03,17년06월(2Q),68200,92368,38556,3919,1645,2912,77626,6.96,0.88,1417,127.4,15.95,-21.88,10.16,7.44,-48.46,20.98
GS_정유_03.csv,GS,정유,03,17년03월(1Q),59100,90416,39181,6456,4349,5062,74738,5.31,0.79,4236,131.13,27.74,96.6,16.48,22.85,163.36,26.3
GS_정유_03.csv,GS,정유,03,16년12월(4Q),54100,89203,37344,5065,2908,761,73546,6.36,0.74,2471,128.03,23.22,31.33,13.56,13.77,261.19,23.93
GS_정유_03.csv,GS,정유,03,16년09월(3Q),53500,85396,33358,4178,1819,2190,70003,7.96,0.76,1679,135.71,12.96,31.46,12.52,9.67,163.38,23.13
GS_정유_03.csv,GS,정유,03,16년06월(2Q),47450,84197,33251,5016,2865,1954,68962,8.36,0.69,2749,138.42,-2.52,-28.63,15.09,16.28,6.03,25.76
GS_정유_03.csv,GS,정유,03,16년03월(1Q),59000,80509,30672,3284,1641,3612,66160,10.68,0.89,1608,149.81,10.14,65.82,10.71,9.68,25.36,21.76
