year,company,industry,결산년도,주가,자본총계,매출액,영업이익,당기순익,영업흐름,BPS,PBR,부채율,매출증가,영익률,지배ROE,매출이익
15,GS건설,건설,15년03월(1Q),30200,34976,23158,200,14,-5196,46038,0.66,278.37,13.49,0.86,-0.01,5.38
14,GS건설,건설,14년12월(4Q),23250,35816,27758,345,21,4223,47136,0.49,265.61,-4.74,1.24,-1.11,6.02
14,GS건설,건설,14년09월(3Q),36650,36362,23046,239,12,-1076,48060,0.76,245.83,-8.19,1.03,0.12,4.74
14,GS건설,건설,14년06월(2Q),33700,36823,23665,111,-70,2266,48690,0.69,243.72,-3.37,0.47,-1.12,4.24
14,GS건설,건설,14년03월(1Q),36300,31389,20406,-183,-187,302,54784,0.61,301.66,20.55,-0.9,-3.4,2.55
13,GS건설,건설,13년12월(4Q),30500,31593,29139,-1761,-1841,2769,55279,0.51,293.36,7.76,-6.04,-24.29,-1.26
13,GS건설,건설,13년09월(3Q),37450,33705,25101,-876,-826,-7037,59204,0.58,266.07,4.53,-3.49,-10.64,1.1
13,GS건설,건설,13년06월(2Q),28050,34511,24489,-1106,-1342,-1829,60655,0.43,268.84,3.99,-4.52,-17,1.12
13,GS건설,건설,13년03월(1Q),55300,35662,16928,-5612,-4264,-5446,62863,0.81,255.84,-19.71,-33.15,-49.75,-23.5
12,GS건설,건설,12년12월(4Q),57300,39285,27040,-689,-934,5224,69649,0.76,199.76,-0.16,-2.55,-10.36,3.86
12,GS건설,건설,12년09월(3Q),76600,40580,24013,536,384,-2327,72241,0.98,193.09,12.36,2.23,3.92,7.62
12,GS건설,건설,12년06월(2Q),76300,40148,23549,846,753,72,71457,0.99,190.87,7.91,3.59,7.71,10.93
12,GS건설,건설,12년03월(1Q),99900,39839,21084,1069,747,-1270,72245,1.28,182.4,4.14,5.07,7.82,10.45
19,GS리테일,유통,19년12월(4Q),39250,25508,22408,499,97,1630,28232,1.39,176.57,3.14,2.23,1.31,21.05
19,GS리테일,유통,19년09월(3Q),41250,25599,23756,906,686,1359,28368,1.45,167.38,2.16,3.81,12.21,22.25
19,GS리테일,유통,19년06월(2Q),39300,24941,23077,770,548,2789,27553,1.43,172.91,4.95,3.34,10.06,21.92
19,GS리테일,유통,19년03월(1Q),39150,24374,20828,214,105,2265,26856,1.46,178.24,4.41,1.03,1.46,20.93
18,GS리테일,유통,18년12월(4Q),40500,24583,21725,253,59,-67,27116,1.49,107.41,4.79,1.16,0.28,20.91
18,GS리테일,유통,18년09월(3Q),38500,24658,23254,776,616,929,27236,1.41,115.31,2.93,3.34,11.39,21.48
18,GS리테일,유통,18년06월(2Q),43950,24058,21989,557,458,2285,26491,1.66,113.17,5.29,2.53,8.75,21.44
18,GS리테일,유통,18년03월(1Q),32650,23609,19948,216,191,101,25925,1.26,117.25,8.07,1.08,3.19,20.72
17,GS리테일,유통,17년12월(4Q),40300,23933,20731,310,107,1400,26369,1.53,112.77,7.78,1.49,2.99,19.2
17,GS리테일,유통,17년09월(3Q),34550,23717,22593,556,397,1091,26035,1.33,122.61,13.68,2.46,7.7,19.05
17,GS리테일,유통,17년06월(2Q),51600,23325,20884,531,412,981,25543,2.02,114.11,12.83,2.54,8.63,18.77
17,GS리테일,유통,17년03월(1Q),52700,22940,18458,261,235,950,25015,2.11,109.25,12.53,1.41,4.68,18.37
16,GS리테일,유통,16년12월(4Q),47600,23575,19235,384,1407,649,25842,1.84,100.27,16.12,1.99,29.45,18.76
16,GS리테일,유통,16년09월(3Q),49200,22248,19873,853,637,1523,24144,2.04,126.02,15.28,4.29,14.06,18.97
16,GS리테일,유통,16년06월(2Q),54500,21617,18509,679,501,1465,23317,2.34,127.13,18.05,3.67,11.1,18.93
16,GS리테일,유통,16년03월(1Q),47150,21114,16403,265,189,708,22677,2.08,129.95,23.81,1.61,4.35,18.2
15,GS리테일,유통,15년12월(4Q),53800,21590,16565,388,239,649,23281,2.31,119.34,32.42,2.34,4.96,18.77
15,GS리테일,유통,15년09월(3Q),61000,21433,17239,777,588,1496,23091,2.64,123.33,29.6,4.51,13.39,19.41
